<http://bryophyteportal.org/portal/content/dwca/NEB_DwC-A.eml>	<hash://sha256/4dea0b008efc792fb7114366fa4cdb2d9330b01417f88a54e1be1b0c2809110d>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NEB_DwC-A.zip>	<hash://sha256/5ac22375bddb3f7ce0718e5cf0dc20a5209dd00fa3e832c472bda8d25f0c560e>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NEBK_DwC-A.eml>	<hash://sha256/0fc0c0f3bdd7b94b7f61cc8974f179f6698b6b65371855403a30187072d9a8a2>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NEBK_DwC-A.zip>	<hash://sha256/70e2883bb18f531b0b7a3b89406e2f5054f37f954e6503b1642d1a5e334f92fc>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NHA_DwC-A.eml>	<hash://sha256/82861d6a1fc44ae393a4563f27cb153a4bb781246d707d0949fd37e4aec88059>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NHA_DwC-A.zip>	<hash://sha256/01cc6939c891f82ac22a23aa26375ea95b9b61197c07f1695c3c69a57d7dc2ac>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/SRP_DwC-A.eml>	<hash://sha256/878f985a9104b3b2e02970b2e2f74eab43245237c6a69e3860eb0242c55ae393>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/SRP_DwC-A.zip>	<hash://sha256/11831ab012f6f615c81972a6686e09b125ea0eb9016ed1f8c4bbc18f5592a973>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/TENN_DwC-A.eml>	<hash://sha256/145db4118b5a95e91601f8c392c310a32669105828c1248a5315f678083ab17f>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/TENN_DwC-A.zip>	<hash://sha256/6420ed7da082eca5bdf428fc421b91f7dce6bbad16da5398eb468dcd32e10d73>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UARK_DwC-A.eml>	<hash://sha256/bcf5b4d823db00d05d5fbad8642012388eb9fe5fa543001f4669421c75bef56a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UARK_DwC-A.zip>	<hash://sha256/4d6003c2934ad4d1dc4bca53568fc115407dc09410facccd13e36c3a97883b44>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UConn-CONN_DwC-A.eml>	<hash://sha256/6f8b23daafd4c3675aa1b7621d2c083fedad28b192da8c937f17eb63f71bb1d0>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UConn-CONN_DwC-A.zip>	<hash://sha256/079c12d6415ccb39899f5c02ab4f13e4135d76c0a0c6f6576f028e9c0f3a8ffe>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UNAF_DwC-A.eml>	<hash://sha256/48f68c1aaea97ee6e6f0acff256752cf4cd91b9f6b1b81bf1ec7cf248af3bff3>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UNAF_DwC-A.zip>	<hash://sha256/165d667d5e8d292fc6f5066187edd996cbb046db92a79e259d581c30f1ba8f7a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UNCA_DwC-A.eml>	<hash://sha256/f17c42146bbf9a7ed95044ae8e32c03cf704cf36e8cc5582f66133cb06c8ee98>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UNCA_DwC-A.zip>	<hash://sha256/9b6e93808e85a3975618f242ff7ba5dc40c50b22e5fde9db6d88e595799f53ea>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UNLV_DwC-A.eml>	<hash://sha256/9f9a619e81884656052fdc9cabcf90609e37f783b73ffa334d81c05bd1a78430>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UNLV_DwC-A.zip>	<hash://sha256/1b8e649ee31ca79eb56dcd67426e823539a841bfd9b6e0b6d793628facb9ac1a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/USU-UTC_DwC-A.eml>	<hash://sha256/54cb834228881d0e6db4fe5e3bc11fe00979b5b009f2a66c41ab16660658f3a2>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/USU-UTC_DwC-A.zip>	<hash://sha256/54bc9bff2714f383e44b8f031a489e229c17ec3c1b8a4c6e65521714556fe834>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UWEC_DwC-A.eml>	<hash://sha256/0128e874e6df06fb6015d5a76dc902015bcc09715102fb30015eea4fb7ce0b63>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UWEC_DwC-A.zip>	<hash://sha256/c6fc032bf60b3b047cc85d58650766b19b0308feeca1f494d0f8a51881927c22>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UWSP_DwC-A.eml>	<hash://sha256/653a826415cee42a3a3938ccfc4c4d567d13b9980798ed595cfa9c19c0db436d>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/UWSP_DwC-A.zip>	<hash://sha256/82dacb16c9a832ccbf76787867f67cb6e5b1de00556f0266b5a7a967e6a98ea9>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/VT_DwC-A.eml>	<hash://sha256/e7c895ef9a9ac2eaccc16d1e8d842d190987a2fe650cbcd7d11c721889c206be>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/VT_DwC-A.zip>	<hash://sha256/f125c2278c5ed12136d17de3be3ea90a95e4b398297bea12ce8ae5d70731743c>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/WIS_DwC-A.eml>	<hash://sha256/b5bdd2b2e051838fb91b5cc59c45a61457d240d5e1a07d3e2c3ad788e10202d3>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/WIS_DwC-A.zip>	<hash://sha256/181f6143da753c4d600d2b96b24d1acd176b8bc97a7814cf59eeb1582bf6cfde>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/collections/datasets/dwc/OS-M_DwC-A.eml>	<hash://sha256/ebec11b32ebb03c465fabba3058bea5a5e599ba2b5929d15834ee3e3a5f1a6c8>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/collections/datasets/dwc/OS-M_DwC-A.zip>	<hash://sha256/1ba2cf054829c1bb8cb50c16eb277a89b9fbb78e7a72514b9c96a2c7bcc15e28>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/collections/datasets/dwc/UMMZ-MOL_DwC-A.eml>	<hash://sha256/e28fedefcf2549fa5d4874f408adf32ca72c4702a43cd93bb08a6345030475a3>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/collections/datasets/dwc/UMMZ-MOL_DwC-A.zip>	<hash://sha256/9a9f8467588373a3058f14432c637160ae3824c976da44824b43b034ceb51c62>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/content/dwca/UWZM-F_DwC-A.eml>	<hash://sha256/c189c332771caf88e44d9d48235efb765c36840de11a137abc4e574072a949cd>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/content/dwca/UWZM-F_DwC-A.zip>	<hash://sha256/aac925546131189f0992f281f2016d202168bbea85aee782f188b9a895d1ffd0>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/collections/datasets/dwc/UWZM-M_DwC-A.eml>	<hash://sha256/be10ec55c45b73008aec56409987f015e3e9440b4630fd41b6f76bcd5cdc3f83>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://greatlakesinvasives.org/portal/collections/datasets/dwc/UWZM-M_DwC-A.zip>	<hash://sha256/53e584b41096bb437a0dd1accf1d563bd399381ff39e15fac2049151ddf5ac53>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://invertnet.org/idigbio-feed/datasets/isui/eml.xml>	<hash://sha256/8a917b8a5fff17ee6516ea02efbd9cb037d9a0a6bb75a557cdb7e5af755b0f3c>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
